HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
8.792586073765203e-05,NUWARA ELIYA,2019-01-01,2019-01-02,0.19,37.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-02,2019-01-03,0.03,35.44,6.9497,80.7891,681.44
0.0001908293886956,NUWARA ELIYA,2019-01-03,2019-01-04,0.03,28.62,6.9497,80.7891,681.44
5.0976259171277377e-05,NUWARA ELIYA,2019-01-04,2019-01-05,0.01,38.5,6.9497,80.7891,681.44
6.456645496655256e-05,NUWARA ELIYA,2019-01-05,2019-01-06,0.04,35.62,6.9497,80.7891,681.44
8.982348709518115e-05,NUWARA ELIYA,2019-01-06,2019-01-07,0.01,39.94,6.9497,80.7891,681.44
4.097797651418246e-05,NUWARA ELIYA,2019-01-07,2019-01-08,0.02,44.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-08,2019-01-09,0.02,34.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-09,2019-01-10,0.04,41.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-10,2019-01-11,0.16,40.75,6.9497,80.7891,681.44
3.914670787137749e-05,NUWARA ELIYA,2019-01-11,2019-01-12,3.56,34.44,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-12,2019-01-13,3.4,36.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-13,2019-01-14,16.7,41.12,6.9497,80.7891,681.44
4.211950727039948e-05,NUWARA ELIYA,2019-01-14,2019-01-15,9.77,47.94,6.9497,80.7891,681.44
4.27055256923008e-05,NUWARA ELIYA,2019-01-15,2019-01-16,2.52,34.94,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-01-16,2019-01-17,2.36,34.94,6.9497,80.7891,681.44
0.0001077155480912,NUWARA ELIYA,2019-01-17,2019-01-18,0.06,36.38,6.9497,80.7891,681.44
2.1021983917616697e-05,NUWARA ELIYA,2019-01-18,2019-01-19,0.01,34.25,6.9497,80.7891,681.44
3.5177822608346057e-05,NUWARA ELIYA,2019-01-19,2019-01-20,0.0,30.0,6.9497,80.7891,681.44
