YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,75.77,21.79,21.98,14.53,87,0.22,97.05,28.44
2019,1,2,88.46,21.09,21.32,13.98,86.94,0.03,97.01,23.56
2019,1,3,101.02,21.03,21.18,13.67,86.06,0.03,97.06,11.69
2019,1,4,114.95,20.88,21.05,13.79,86.88,0.02,97.02,17.81
2019,1,5,94.12,22.12,22.33,15.5,88.94,0.14,96.88,22.44
2019,1,6,112.84,21.57,21.73,13.85,84.25,0.01,96.82,21.69
2019,1,7,99.88,22.02,22.28,15.26,89.06,0.06,96.71,107.19
2019,1,8,92.66,22.73,23.05,15.81,88.44,0.03,96.77,17
2019,1,9,93.26,22.55,22.92,15.69,88.75,0.06,96.76,22.25
2019,1,10,70.09,22.87,23.24,15.93,88,0.13,96.72,16.5
2019,1,11,96.34,22.94,23.2,16.42,90.62,6.56,96.78,90.69
2019,1,12,72.66,23.27,23.33,17.03,92.06,7.64,96.76,84.56
2019,1,13,35.52,23.07,23,17.21,94.06,14.84,96.8,22
2019,1,14,46.77,23.23,23.33,17.03,92.44,10.61,96.76,31.88
2019,1,15,84.09,23.3,23.6,16.66,90.31,5.52,96.76,17.69
2019,1,16,86.2,23.05,23.19,16.36,90.06,2.72,96.78,21.19
2019,1,17,96.88,22.08,22.3,14.83,86.81,0,96.73,20.56
2019,1,18,91.9,20.7,20.83,13.49,85.88,0,96.72,13.75
2019,1,19,93.79,20.8,20.94,13.43,84.88,0,96.79,110.88
2019,1,20,88.45,22,22.3,14.89,87.38,0,96.86,125.44
2019,1,21,90.21,22.57,22.94,15.62,88.56,0.14,96.82,134.12
2019,1,22,100.51,23.07,23.58,16.11,88.69,0.6,96.81,130.69
2019,1,23,103.5,23.23,23.56,16.24,88.38,0.23,96.77,120.88
2019,1,24,97.25,23.08,23.3,16.05,88.31,0.18,96.86,132.31
2019,1,25,99.6,23.76,24.01,17.03,89.69,1.44,96.81,99.88
2019,1,26,77.19,23.6,23.98,16.54,88.25,0.55,96.81,49.38
2019,1,27,112.23,23.23,23.62,15.26,83.88,0,96.87,46.25
2019,1,28,120.62,22.4,22.59,14.16,82.62,0,96.85,99.5
2019,1,29,114.6,22.05,22.45,14.83,86,0.02,96.85,17.12
2019,1,30,102.44,22.87,23.44,15.5,86.56,0.12,96.86,24.25
2019,1,31,101.53,23.16,23.64,15.38,84.69,1,96.84,40.38
2019,2,1,100.38,23.3,23.81,15.93,87,3.25,96.83,34
2019,2,2,71.61,23.59,23.98,16.72,89.06,13.68,96.72,28.62
2019,2,3,83.45,24.12,24.48,17.09,88.5,8.28,96.82,39.38
2019,2,4,38.19,23.8,24.08,17.21,90.75,14.68,96.94,48.38
2019,2,5,50.2,24.05,24.26,17.64,91.31,11.58,96.91,44.62
2019,2,6,99.01,23.63,23.99,16.66,88.81,1.99,96.78,34.19
2019,2,7,112.38,23.76,24.27,16.72,88.5,0.71,96.78,47.44
2019,2,8,104.23,24.45,24.83,17.4,88.25,0.85,96.84,82.81
2019,2,9,75.88,24.46,24.75,17.46,88.56,13,96.85,117.31
2019,2,10,114.32,23.84,24.13,16.3,86.19,2.09,96.92,44.94
2019,2,11,102.42,23.49,23.8,16.42,87.75,1.24,96.9,40.06
2019,2,12,102.43,23.87,24.23,16.36,86.38,0.94,96.95,45.94
2019,2,13,97.49,24.21,24.54,16.85,87.19,1.88,96.98,39.75
2019,2,14,76.38,24.26,24.78,17.15,88.06,2.52,96.83,44.75
2019,2,15,101.09,24.36,24.8,17.15,87.81,4.33,96.85,63.75
2019,2,16,99.27,24.14,24.22,18.19,93.19,16.55,96.84,65.31
2019,2,17,116.66,25.37,25.71,18.01,86.69,4.73,96.76,118.12
2019,2,18,116.41,25.15,25.44,17.15,83.94,1.56,96.65,113
2019,2,19,122.52,24.26,24.47,16.66,85.88,0.61,96.75,83.19
2019,2,20,121.95,23.34,23.73,15.81,86.12,0.5,96.96,58.75
2019,2,21,106.74,23.87,24.3,15.87,84.31,0.68,97.01,41.81
2019,2,22,122.72,22.75,23.04,14.47,82.44,0.57,96.85,37.56
2019,2,23,121.24,22.41,22.76,13.67,80.06,0.16,96.72,38.94
2019,2,24,118.83,23.35,23.86,14.77,81.25,0.12,96.61,44.19
2019,2,25,105.62,24.69,25.48,16.97,85,1.38,96.56,54.31
2019,2,26,100.2,24.79,25.06,18.13,89.81,13.7,96.51,67.69
2019,2,27,80.94,24.63,24.78,17.64,88,10.56,96.51,115.19
2019,2,28,100.8,25.26,25.84,16.97,82.69,0.65,96.52,162.81
2019,3,1,113.56,24.94,25.55,16.54,82.56,0.15,96.57,66.94
2019,3,2,122.94,24.55,25.09,16.17,82.81,0.14,96.62,44.44
2019,3,3,105.34,24.7,25.33,16.91,84.62,1.52,96.57,37.62
2019,3,4,109.34,24.65,25.17,15.69,80.31,0.43,96.55,74.31
2019,3,5,117.21,25.98,26.69,16.78,79.25,0.56,96.51,155.25
2019,3,6,125.41,26.79,27.81,16.91,76.69,0.64,96.56,209.25
2019,3,7,128.84,26.61,27.48,15.87,74.19,0.07,96.54,174.12
2019,3,8,141.16,26.08,26.97,15.5,74.62,0.45,96.66,165.88
2019,3,9,133.48,26.11,27.12,15.99,76.25,1.92,96.78,120.44
2019,3,10,137.34,25.05,25.66,14.65,74.81,0.44,96.83,63.19
2019,3,11,133.45,24.08,24.73,14.77,78.75,1.75,96.9,45.19
2019,3,12,124.78,24.34,25.21,14.16,74.69,0.25,96.87,43.06
2019,3,13,111.37,24.63,25.59,14.34,74.75,0.02,96.86,46.25
2019,3,14,138.98,25.14,25.94,14.1,72,0,96.86,39.94
2019,3,15,120.97,24.24,25.08,14.65,77.44,0.05,96.82,62.88
2019,3,16,122.52,25.02,26.11,15.56,78,0.15,96.82,51.81
2019,3,17,86.97,25.17,26.01,16.36,80.5,1.49,96.8,58.12
2019,3,18,115.12,25.39,26.02,16.85,81.56,3.51,96.76,64
2019,3,19,136.29,25.51,26.44,15.2,75.19,0.22,96.66,62
2019,3,20,132.98,25.44,26.37,15.01,75.19,0.26,96.66,73.81
2019,3,21,105.94,25.74,27.05,16.36,78.94,3.05,96.71,77.81
2019,3,22,137.35,26.12,27.4,16.54,78.12,0.49,96.76,66.5
2019,3,23,128.13,26.29,27.48,16.78,78.25,2.05,96.74,62.81
2019,3,24,140.09,25.72,26.26,12.45,64.12,0.06,96.67,73
2019,3,25,142.18,24.62,25.23,13.12,70.19,0.01,96.66,60.69
2019,3,26,138.02,25.33,26.31,13.67,69.44,0.02,96.78,63.25
2019,3,27,139.89,26.1,27.11,13.49,66.31,0.09,96.85,64.44
2019,3,28,140.77,26.16,26.98,12.33,62.38,0.01,96.81,72
2019,3,29,139.43,26.26,26.93,11.6,58,0,96.64,143.38
2019,3,30,142.02,26.59,27.87,12.94,64.25,0.01,96.65,157.81
2019,3,31,137.12,27.69,29.22,13.61,63.06,0.13,96.66,169.19
2019,4,1,136.2,28.32,30.09,14.77,64.5,0.38,96.64,165.12
2019,4,2,137.53,27.65,29.4,14.89,66.88,0.29,96.62,155.12
2019,4,3,136.8,26.9,28.55,14.22,66.88,0.17,96.66,128.44
2019,4,4,144.84,26.76,28.07,12.45,62,0.03,96.77,140.62
2019,4,5,131.88,27.58,28.92,12.94,59.88,0.03,96.74,134.81
2019,4,6,136.55,27.99,29.45,13.43,60.62,0.05,96.68,127.44
2019,4,7,133.41,28.02,29.91,15.69,67.38,0.02,96.63,139.44
2019,4,8,130.46,28.45,30.41,16.3,67.88,0.15,96.51,175
2019,4,9,128.94,28.98,30.94,15.93,64.12,0.12,96.55,166.25
2019,4,10,129.52,28.59,30.55,16.11,66.81,0.16,96.62,106.69
2019,4,11,104.08,27.75,29.15,16.54,70.94,1.97,96.57,134.06
2019,4,12,134.45,27.59,28.83,16.42,71.38,0.75,96.52,128.94
2019,4,13,125.9,28.17,29.69,16.05,68.44,1.09,96.53,121.38
2019,4,14,123.58,28.28,29.75,15.14,65.31,0.27,96.55,111.31
2019,4,15,129.2,28.29,29.71,14.34,62.88,0.42,96.61,126.88
2019,4,16,114.09,27.4,28.28,16.3,72,3.33,96.58,151.94
2019,4,17,113.99,26.46,27.36,17.46,80.19,12.05,96.65,149.88
2019,4,18,125.65,27.51,28.5,15.14,67.94,1.71,96.6,177.31
2019,4,19,121.92,27.26,28.28,15.93,70.81,1.17,96.5,198.88
2019,4,20,128.93,27.23,28.57,16.17,71.94,3.11,96.37,185.44
2019,4,21,111.22,26.96,28.02,15.08,68.81,2.46,96.3,166.38
2019,4,22,123.28,27.73,29.19,16.3,70.25,1.25,96.31,152.19
2019,4,23,120.03,28.04,29.55,16.42,70.38,1.47,96.42,109.19
2019,4,24,117.91,27.58,28.79,16.3,71.44,1.82,96.5,68.19
2019,4,25,106.34,27.37,28.26,16.66,72.88,9.23,96.52,152.56
2019,4,26,88.15,25.54,25.98,15.5,74.88,3.21,96.52,117.62
2019,4,27,65.62,27.27,28.54,14.83,67.12,1.34,96.46,151.81
2019,4,28,99.09,28.26,29.5,15.56,66.56,2.53,96.39,126.5
2019,4,29,88.59,27.41,27.85,16.54,72.38,9.79,96.41,256
2019,4,30,81.2,27.48,28.03,17.21,74.31,3.01,96.24,248.75
2019,5,1,109.66,27.4,27.79,17.27,74.31,1.83,96.22,243.75
2019,5,2,108.92,27.06,27.27,18.25,79.38,2.2,96.25,234.19
