YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,24.8,80,35.5,37,0.12,25.29,100.03,114.52
2019,1,2,24.39,79.5,33.44,35.31,0.02,25.01,100.02,119.14
2019,1,3,24.17,78.5,30.62,32.06,0.01,24.73,100.06,121.84
2019,1,4,24.04,77.62,34.25,36.19,0,24.57,100.01,126.06
2019,1,5,24.87,81.5,71.81,44.19,0.03,25.33,99.88,123.48
2019,1,6,24.56,77.62,31.25,33.88,0,25.08,99.81,125.84
2019,1,7,25.04,79.75,74.94,78.5,0.02,25.63,99.71,120.78
2019,1,8,25.58,81.25,30.5,32.56,0.01,25.96,99.75,121.2
2019,1,9,25.37,80.69,33.94,35.81,0.04,25.81,99.71,122.8
2019,1,10,25.61,81.19,30.62,32.94,0.23,26.08,99.68,121.36
2019,1,11,25.37,83,106.56,78.75,6.5,25.96,99.77,116.17
2019,1,12,25.65,84.12,64.06,66,2.04,25.94,99.74,86.77
2019,1,13,25.56,86.25,28.56,30.25,5.47,25.79,99.77,90.78
2019,1,14,25.8,85.06,30.38,32.62,4.44,25.94,99.72,94.32
2019,1,15,25.59,83.56,37.56,24.56,1.18,25.83,99.75,114.77
2019,1,16,25.53,83.81,27.31,28.94,3.96,25.73,99.75,106.7
2019,1,17,24.78,78.56,31.81,33.81,0.15,25.09,99.72,115.5
2019,1,18,24.12,77,33.5,35.62,0.03,24.51,99.73,105.02
2019,1,19,23.87,76.56,67.88,25.56,0,24.38,99.81,90.07
2019,1,20,24.58,78.25,27.19,29.25,0.1,24.99,99.86,90.84
2019,1,21,25.38,79.25,108.12,110.94,0.01,25.9,99.84,109.02
2019,1,22,25.61,80.5,145,133,0.03,26.25,99.82,119.23
2019,1,23,25.92,80.44,55.38,28.31,0.03,26.22,99.77,126.27
2019,1,24,26.28,79.31,78.75,66.56,0.13,26.62,99.85,119.52
2019,1,25,26.44,80.75,183.06,171.69,0.92,26.79,99.82,118.84
2019,1,26,26.98,79.94,129.25,117.69,0.82,27.33,99.78,123.84
2019,1,27,26.74,75.38,165.25,155,0.21,27.15,99.87,118.17
2019,1,28,26.35,74.62,217.56,213.44,0.02,26.6,99.86,121.97
2019,1,29,25.32,76.06,41.25,42.69,0,25.6,99.84,125.62
2019,1,30,25.55,78.06,36.31,37.62,0,25.82,99.84,127.58
2019,1,31,25.87,77.69,43,44.31,0.02,26.13,99.8,128.25
2019,2,1,26.14,77.25,30.56,33.12,0.02,26.58,99.81,126.8
2019,2,2,26.51,77.81,31.94,33.81,0.84,26.93,99.7,125.12
2019,2,3,26.83,80.12,27.75,28.81,1.86,27.23,99.77,123.86
2019,2,4,26.59,82.75,34.5,36.69,13.75,26.94,99.88,108.85
2019,2,5,26.58,84.81,41,28.25,7.29,26.9,99.85,114.98
2019,2,6,26.6,81.06,26.06,27.69,2.55,27.06,99.73,112.74
2019,2,7,26.7,76.62,156.69,145.5,0.18,27.45,99.77,101.1
2019,2,8,26.9,81.88,171.69,171.5,0.91,27.5,99.84,111.88
2019,2,9,25.84,85.69,229.31,228.38,26.92,26.43,99.88,113.9
2019,2,10,26.66,77.38,152.69,138.12,10.02,27.15,99.89,131.36
2019,2,11,26.4,79.88,43.5,45.31,0.32,26.7,99.83,131.62
2019,2,12,26.4,79.62,40.19,41.88,0.1,26.65,99.88,124.86
2019,2,13,26.76,79.44,31.88,33.44,0.22,26.98,99.92,125.66
2019,2,14,27.05,80.81,40,41.88,3.1,27.37,99.76,125.06
2019,2,15,27.09,81.25,149.62,132.94,4.83,27.69,99.81,121.81
2019,2,16,26.58,83.88,220.69,219,12.26,27.22,99.87,127.56
2019,2,17,27.05,82.12,240.5,241.94,6.04,27.62,99.79,118.66
2019,2,18,26.87,82.19,210.31,208.19,1.15,27.6,99.66,126.81
2019,2,19,27.51,76.75,165.62,167.69,0.63,27.98,99.67,128.61
2019,2,20,26.69,74.06,66.81,68.75,0.03,26.95,99.86,134.66
2019,2,21,26.79,75.88,39.31,41.12,0.07,27.13,99.94,137.98
2019,2,22,26.14,73.94,50,51.5,0.1,26.48,99.78,135.98
2019,2,23,26.05,68.94,129.31,121.56,0,26.61,99.67,132.16
2019,2,24,26.75,69.62,145.81,146.5,0.01,27.44,99.56,130.29
2019,2,25,27.46,73.81,189.31,192.75,0.42,28.42,99.52,127.52
2019,2,26,27.08,82.44,289.75,278.12,6.44,27.9,99.52,129.34
2019,2,27,26.14,85,249.31,249.25,18.91,26.65,99.57,117.93
2019,2,28,26.74,80.75,246.38,245.94,0.6,27.41,99.56,120.27
2019,3,1,27.9,74.19,214.31,177.75,0.18,28.45,99.52,119.38
2019,3,2,27.47,72.12,103.88,98,0.02,27.74,99.57,124.49
2019,3,3,27.92,74.88,116.06,120.69,4.24,28.4,99.51,123.3
