YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,100.41,23.76,23.92,15.2,81.31,0.26,97.85,39.06
2019,1,2,105.69,23.23,23.49,14.77,81.81,0.05,97.84,45
2019,1,3,114.88,23.33,23.45,14.28,78.94,0.03,97.87,29
2019,1,4,119.44,22.91,23.08,13.98,79.25,0.01,97.84,38.75
2019,1,5,115.16,23.72,23.92,15.2,81.69,0.06,97.71,38.38
2019,1,6,120.85,23.37,23.55,14.16,78.56,0.02,97.64,48.19
2019,1,7,115.83,23.69,23.92,14.89,80.25,0.02,97.56,61.56
2019,1,8,111.45,24.64,24.89,15.75,80.31,0.02,97.6,41
2019,1,9,105.64,24.65,24.98,15.69,79.94,0.21,97.56,47.12
2019,1,10,96.3,24.98,25.33,16.24,81.12,0.47,97.53,47.88
2019,1,11,92.6,24.59,24.88,16.85,85.31,10.97,97.61,59.19
2019,1,12,79.32,24.48,24.59,17.33,88.31,5.14,97.59,60
2019,1,13,72.59,24.58,24.4,16.66,84.69,9.95,97.62,39.94
2019,1,14,80.68,24.35,24.27,16.54,85.25,6.44,97.58,51.88
2019,1,15,97.45,24.6,24.8,16.42,83.5,2.46,97.59,46.81
2019,1,16,88.36,24.51,24.52,16.72,85.31,3.42,97.59,39.56
2019,1,17,106.06,24.01,24.23,15.01,79.44,0.25,97.54,38.81
2019,1,18,106.95,23.13,23.38,13.85,77.81,0.05,97.55,28.12
2019,1,19,89.21,22.79,22.96,13,75.38,0,97.63,64.38
2019,1,20,99.77,23.58,23.98,14.65,79.25,0.12,97.68,66.94
2019,1,21,94.43,24.51,24.97,15.56,80.06,0.01,97.67,126.75
2019,1,22,116.74,25.19,25.8,15.99,79.44,0.03,97.66,143.44
2019,1,23,115.87,25.43,25.87,16.05,78.81,0.02,97.61,82.56
2019,1,24,112.44,25.31,25.84,16.36,80.44,0.16,97.71,220.75
2019,1,25,108.95,25.48,25.85,16.85,81.75,2.01,97.67,79.81
2019,1,26,101.83,25.69,26.19,17.03,81.81,1.22,97.64,62.44
