YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,87.98,25.09,25.87,14.47,73.62,0,101.53,42
2019,1,2,105.18,25.07,25.8,13.98,71.19,0,101.52,41.5
2019,1,3,112.86,25.35,25.76,13.73,68.88,0,101.56,38.44
2019,1,4,109.08,25.31,25.64,13.79,69.12,0,101.5,46
2019,1,5,103.38,25.55,25.86,15.14,74.62,0.03,101.37,37
2019,1,6,108.24,25.51,25.8,14.47,71.62,0,101.26,45.12
2019,1,7,97.89,25.77,26.07,15.75,76.31,0,101.16,32.44
2019,1,8,111.72,25.62,26.08,15.81,77.69,0,101.23,34.88
2019,1,9,111.02,25.15,25.89,15.08,76.19,0,101.22,45.5
2019,1,10,110.23,25.16,25.86,15.14,76.31,0,101.19,40
2019,1,11,103.4,25.44,26.04,15.2,75.31,0.03,101.26,35.56
2019,1,12,107.52,25.9,26.37,15.99,77.31,0.25,101.22,32.25
2019,1,13,70.96,26.01,26.4,17.03,81.56,0.46,101.23,33.88
2019,1,14,100.12,26.18,26.46,16.66,79.19,0.05,101.18,35.31
2019,1,15,99.1,25.9,26.12,15.81,76.31,0.02,101.21,32.44
2019,1,16,93.38,25.81,26.11,15.5,75.38,0.01,101.24,39.12
2019,1,17,100.98,25.41,25.77,14.1,70.06,0,101.19,43.56
2019,1,18,96.48,25.15,25.53,13.37,67.62,0.05,101.2,43
2019,1,19,101.97,24.88,25.75,13.43,69.12,0.04,101.3,37.31
2019,1,20,93.17,25.11,25.72,13.85,70.38,0.04,101.36,34.81
2019,1,21,93.8,25.12,25.76,14.22,72.31,0.01,101.3,39.19
2019,1,22,97.72,25.33,26.19,15.69,78.38,0.03,101.28,38.75
2019,1,23,110.95,25.77,26.51,16.3,79.31,0.01,101.22,43.88
2019,1,24,104.41,26.22,26.8,16.6,78.75,0,101.28,46
2019,1,25,96.55,26.48,27.25,17.58,82.12,0.03,101.22,61.81
2019,1,26,107.06,26.89,27.46,17.21,78.31,0.04,101.21,78.81
2019,1,27,108.3,26.63,27.34,16.3,75.44,0.01,101.27,72.06
2019,1,28,115.12,26.26,27.25,15.56,73.69,0,101.29,56.12
2019,1,29,111.75,26.14,27.11,16.11,76.88,0.01,101.32,39.69
2019,1,30,111.84,26.19,27.11,16.05,76.31,0.02,101.34,42
2019,1,31,107.1,26.26,27.07,15.62,74.06,0.03,101.3,50.62
2019,2,1,99.04,26.26,27.25,16.11,76.12,0.11,101.29,50.75
2019,2,2,113.27,26.39,27.26,16.17,75.88,0.05,101.18,44.5
2019,2,3,110.31,26.52,27.55,16.91,78.81,0.49,101.27,43.5
