YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,96.27,21.72,21.86,14.47,87.81,0.09,98.16,47.31
2019,1,2,101.4,21.18,21.3,13.98,87.06,0.01,98.14,44.06
2019,1,3,116.85,20.96,20.98,13.55,86.38,0.02,98.19,38
2019,1,4,120.49,20.68,20.59,13.31,86.06,0,98.13,45.06
2019,1,5,113.45,22.26,22.37,15.44,88.88,0.04,97.99,42.44
2019,1,6,118.68,21.56,21.59,13.79,84.56,0,97.92,48.5
2019,1,7,106.91,22.34,22.36,15.26,88.44,0.01,97.81,49.69
2019,1,8,106.46,22.92,23.15,15.69,87.81,0.01,97.88,39.69
2019,1,9,111.68,22.54,22.8,15.32,88.06,0,97.86,49.88
2019,1,10,105.62,22.83,23.12,15.69,88.38,0.01,97.83,46.94
2019,1,11,106.91,22.98,23.23,16.05,89.62,1.26,97.88,38.12
2019,1,12,96.3,23.36,23.47,16.66,90.81,5.01,97.85,37.12
2019,1,13,70.82,23.46,23.42,17.15,92.62,17.19,97.88,45.19
2019,1,14,68.18,23.87,23.97,17.21,90.81,12.31,97.84,47.25
2019,1,15,97.86,23.48,23.67,16.54,89.62,1.94,97.85,36.69
2019,1,16,91.24,23.19,23.33,16.11,89.12,1.62,97.89,40.31
2019,1,17,105.26,21.98,22.05,14.28,85.31,0,97.84,45.56
2019,1,18,100.28,20.87,20.78,13.31,84.94,0,97.85,45.62
2019,1,19,95.47,20.91,20.88,13.18,84.06,0,97.92,37.06
2019,1,20,99.45,21.76,21.98,14.28,86.5,0,97.98,35.25
2019,1,21,102.84,22.81,23.24,15.32,86.88,0,97.93,41.5
2019,1,22,110.62,23.49,24.04,15.81,86.19,0,97.91,35.06
2019,1,23,111.16,23.73,24.12,16.11,86.19,0,97.87,42.12
2019,1,24,106.37,23.82,24.18,16.05,86.06,0,97.95,50.06
2019,1,25,108.65,24.54,24.87,16.97,86.56,0.3,97.89,61.56
2019,1,26,97.61,24.44,24.85,16.48,85.06,0.16,97.89,67.31
2019,1,27,115.02,23.63,24,15.2,83,0,97.95,80.25
2019,1,28,115.47,23.01,23.25,13.92,80.06,0,97.95,74.44
2019,1,29,119.65,22.93,23.33,14.89,84,0,97.97,54.94
2019,1,30,115.2,23.35,23.8,15.38,84.5,0.16,97.97,48.44
2019,1,31,109.13,23.62,24.05,15.32,83.62,0.2,97.93,58.25
2019,2,1,113.21,23.88,24.47,15.56,83.38,1.41,97.91,53.56
2019,2,2,108.02,24.09,24.58,16.11,84.88,11.18,97.81,48.56
2019,2,3,98.38,24.63,25.11,16.85,85.75,6.47,97.9,48.38
2019,2,4,66.8,24.66,24.9,17.4,88.31,13.35,98,61.44
2019,2,5,68.24,24.82,25.03,17.7,88.75,9.37,97.98,51.19
2019,2,6,104.45,24.23,24.72,16.36,85.44,0.34,97.86,53.12
2019,2,7,116.62,24.72,25.43,16.48,83.69,0.04,97.85,66.5
2019,2,8,104.59,25.73,26.37,17.52,83.69,0.02,97.9,75.94
2019,2,9,77.38,24.76,24.87,17.7,88.88,29.16,97.92,142.19
2019,2,10,121.8,24.53,24.84,16.66,85.5,4.63,98,79.31
2019,2,11,109.99,24.19,24.44,16.54,85.94,0.05,97.97,60.88
2019,2,12,96.61,24.48,24.77,16.36,84.44,0.11,98.02,58.12
2019,2,13,107.34,24.58,24.94,16.48,84.44,0.21,98.07,49.62
2019,2,14,93.37,24.92,25.4,17.21,86.06,1.08,97.89,60.25
2019,2,15,109.16,25.15,25.5,17.4,86.06,1.57,97.91,68.5
2019,2,16,105.44,25.69,26.14,17.94,85.81,8.25,97.94,58.25
2019,2,17,112.88,26.26,26.68,17.64,82.12,2.06,97.88,107.38
2019,2,18,118.04,25.99,26.3,16.91,80,0.1,97.71,169.06
2019,2,19,123.32,25.18,25.58,16.17,80.81,0.03,97.79,97.62
