YEAR,MONTH,DAY,PAR_TOT,T2M,EST,SH2M,RH2M,PRECIPITATION,SP,WD10M
2019,1,1,100.41,20.58,20.87,14.16,87.94,0.19,93.93,37.69
2019,1,2,105.69,20.12,20.5,13.67,87.75,0.03,93.91,35.44
2019,1,3,114.88,19.84,20.14,13.24,86.75,0.03,93.96,28.62
2019,1,4,119.44,19.56,19.87,13.12,87.25,0.01,93.91,38.5
2019,1,5,115.16,20.8,21.09,14.47,88.12,0.04,93.8,35.62
2019,1,6,120.85,20.17,20.44,13.24,85.38,0.01,93.73,39.94
2019,1,7,115.83,20.71,21.02,14.34,88.19,0.02,93.64,44.69
2019,1,8,111.45,21.45,21.82,14.89,87.56,0.02,93.69,34.62
2019,1,9,105.64,21.37,21.75,14.83,87.88,0.04,93.66,41.75
2019,1,10,96.3,21.79,22.2,15.32,88.12,0.16,93.63,40.75
2019,1,11,92.6,21.71,22.05,15.56,89.94,3.56,93.69,34.44
2019,1,12,79.32,21.86,21.94,16.05,91.62,3.4,93.66,36.75
2019,1,13,72.59,21.64,21.64,15.87,91.75,16.7,93.72,41.12
2019,1,14,80.68,21.8,21.94,15.75,90.31,9.77,93.67,47.94
2019,1,15,97.45,21.92,22.26,15.62,89.25,2.52,93.68,34.94
2019,1,16,88.36,21.69,21.83,15.56,89.88,2.36,93.69,34.94
2019,1,17,106.06,20.67,20.99,13.98,86.56,0.06,93.65,36.38
2019,1,18,106.95,19.51,19.81,12.88,85.94,0.01,93.65,34.25
2019,1,19,89.21,19.4,19.69,12.51,84.5,0,93.72,30
2019,1,20,99.77,20.52,20.91,13.98,87,0.03,93.77,30.69
2019,1,21,94.43,21.58,22.11,14.83,86.88,0,93.75,46.62
2019,1,22,116.74,22.15,22.79,15.2,86.19,0,93.74,84.19
2019,1,23,115.87,22.12,22.54,15.38,86.81,0,93.71,34.44
2019,1,24,112.44,22.28,22.56,15.2,85.75,0.04,93.79,40.62
2019,1,25,108.95,22.65,22.97,15.87,86.94,1.52,93.75,51.19
2019,1,26,101.83,22.8,23.27,15.93,86.69,0.74,93.74,52.62
2019,1,27,107.51,22.37,22.83,14.89,83.81,0.07,93.81,52
2019,1,28,116.41,21.7,21.86,13.85,81.94,0,93.81,161.81
2019,1,29,118.12,20.62,20.97,13.73,85.56,0,93.79,37.25
2019,1,30,115.28,21.07,21.47,14.34,86.75,0.07,93.79,37.25
2019,1,31,118.78,21.44,21.8,14.47,85.81,0.06,93.76,47.5
2019,2,1,119.36,21.82,22.3,14.83,85.69,0.84,93.76,44.81
2019,2,2,111.34,22.36,22.76,15.62,86.94,5.56,93.64,41.69
2019,2,3,93.17,22.8,23.14,16.17,87.94,4.78,93.72,44.19
2019,2,4,80.56,22.55,22.78,16.17,89.06,11.81,93.83,60
2019,2,5,84.4,22.87,23.03,16.66,90,6.3,93.8,49.81
2019,2,6,94.88,22.65,23.11,16.05,88.06,1.67,93.68,44.31
2019,2,7,99.12,22.81,23.43,15.69,85.38,0.08,93.7,70.75
2019,2,8,87.05,23.37,23.85,16.6,87.06,0.19,93.77,133
2019,2,9,86.14,22.85,23.19,16.6,89.69,24.06,93.78,159.81
2019,2,10,111.16,22.72,23.04,15.14,83.75,7.04,93.84,60.31
2019,2,11,111.37,22.2,22.51,15.5,87.25,0.14,93.8,53.62
2019,2,12,113.85,22.29,22.61,15.32,86,0.09,93.84,53.19
2019,2,13,119.52,22.76,23.05,15.81,86.25,0.18,93.87,45.94
2019,2,14,105.91,22.93,23.3,16.17,87.19,2.47,93.74,56.31
2019,2,15,105.34,23.2,23.63,16.54,87.62,4.55,93.76,76.25
2019,2,16,102.7,23.11,23.27,16.97,90,16.16,93.78,123.19
2019,2,17,113.68,23.83,24.11,16.78,86,6.44,93.71,167.12
2019,2,18,114.41,23.7,24.12,16.3,84.44,1.23,93.61,109.19
2019,2,19,120.32,23.05,23.3,15.44,83.62,0.26,93.66,83.5
2019,2,20,129.16,21.67,21.95,14.65,85.5,0,93.85,72.25
2019,2,21,132.7,22.22,22.53,14.95,84.44,0.52,93.9,50.62
2019,2,22,132.54,21.04,21.32,13.98,85,0.5,93.75,52.5
2019,2,23,130.89,20.85,21.15,13.06,81.06,0,93.63,66.19
2019,2,24,129.21,21.95,22.26,13.92,80.38,0,93.53,69.44
2019,2,25,113.89,23.34,23.99,15.87,83.75,0.13,93.49,74.31
2019,2,26,104.9,23.44,23.77,17.03,88.75,12.02,93.45,86.56
2019,2,27,78.59,22.15,22.08,16.42,91.94,14.2,93.49,248.62
2019,2,28,105.57,23.13,23.62,16.36,86.94,0.81,93.5,223.56
2019,3,1,113.12,23.87,24.19,15.69,81.06,0.04,93.5,71.62
2019,3,2,125.04,22.93,23.16,15.01,81.88,0.01,93.55,64.31
2019,3,3,102.85,23.46,23.94,15.93,83.88,3.92,93.51,56.56
2019,3,4,87.23,22.75,23.07,14.77,81.88,1.19,93.51,149.88
2019,3,5,121.16,23.65,24.15,15.93,83.06,0.55,93.49,186.06
2019,3,6,110.46,23.82,24.64,16.6,85.38,0.42,93.57,231.25
2019,3,7,116.48,24.33,25.05,15.93,80.38,0.02,93.53,168.81
2019,3,8,133.06,23.9,24.51,15.32,79.5,0.36,93.64,201.25
2019,3,9,111.59,24.05,24.52,15.99,81.75,5.07,93.74,114
2019,3,10,132.1,23.21,23.19,13.98,76.12,1.12,93.76,80.69
2019,3,11,131.88,22.11,22.27,13.49,77.81,0.09,93.81,68.94
2019,3,12,123.54,22.44,22.9,13.43,76.94,0.05,93.8,71.5
2019,3,13,90.53,22.55,22.88,13.49,76.5,0,93.78,72.25
2019,3,14,137.29,23.16,23.37,13.55,74.62,0.02,93.78,69.19
2019,3,15,122.17,22.74,22.85,13.12,73.38,0.03,93.74,74.81
2019,3,16,113.77,23.59,24.3,15.14,79.88,0.44,93.73,66.75
2019,3,17,97.82,23.63,24.33,15.81,82.69,1.68,93.72,67.25
2019,3,18,101.71,23.8,24.4,16.05,83,5.28,93.68,69.19
2019,3,19,133.01,23.59,23.86,14.71,78,0.27,93.59,72.94
2019,3,20,134.52,23.59,23.94,13.85,74.44,0.01,93.59,75.12
2019,3,21,102.88,23.83,24.62,15.38,80.06,4.83,93.64,97.25
2019,3,22,130.57,24.37,25.08,15.87,79.69,0.46,93.69,68.94
2019,3,23,111.14,24.58,25.28,16.11,79.88,3.19,93.69,112.94
2019,3,24,135.4,23.87,23.71,12.82,68.69,0.24,93.62,74.88
2019,3,25,141.94,22.09,21.83,11.29,66.56,0,93.58,72.94
2019,3,26,138.8,22.94,23.49,13.31,74.38,0,93.72,77.62
